"Subject","start","end","PPTESTCD","PPORRES","exclude"
"Experimental",0,450,"auclast",0.873189280127628,NA
"Experimental",0,450,"cmax",0.576,NA
"Experimental",0,450,"tmax",0.083,NA
"Experimental",0,450,"tlast",12,NA
"Experimental",0,450,"clast.obs",0.002,NA
"Experimental",0,450,"lambda.z",0.481387060173655,NA
"Experimental",0,450,"r.squared",0.995675084352361,NA
"Experimental",0,450,"adj.r.squared",0.995572110170274,NA
"Experimental",0,450,"lambda.z.time.first",0.188,NA
"Experimental",0,450,"lambda.z.time.last",12,NA
"Experimental",0,450,"lambda.z.n.points",44,NA
"Experimental",0,450,"clast.pred",0.00131822454518841,NA
"Experimental",0,450,"half.life",1.43989574690666,NA
"Experimental",0,450,"span.ratio",8.20337168532918,NA
"Experimental",0,450,"aucinf.obs",0.877343941034547,NA
"Experimental",0,450,"aucinf.pred",0.875927668119846,NA
"Predicted",0,450,"auclast",0.640841220133479,NA
"Predicted",0,450,"cmax",0.560398802091272,NA
"Predicted",0,450,"tmax",0.042,NA
"Predicted",0,450,"tlast",450,NA
"Predicted",0,450,"clast.obs",1.01356241884645e-69,NA
"Predicted",0,450,"lambda.z",0.3427555102943,NA
"Predicted",0,450,"r.squared",0.999903791452282,NA
"Predicted",0,450,"adj.r.squared",0.999903567711473,NA
"Predicted",0,450,"lambda.z.time.first",19,NA
"Predicted",0,450,"lambda.z.time.last",450,NA
"Predicted",0,450,"lambda.z.n.points",432,NA
"Predicted",0,450,"clast.pred",8.23599745830715e-70,NA
"Predicted",0,450,"half.life",2.02227873729816,NA
"Predicted",0,450,"span.ratio",213.125911898689,NA
"Predicted",0,450,"aucinf.obs",0.640841220133479,NA
"Predicted",0,450,"aucinf.pred",0.640841220133479,NA
